Constitution,Used For...,Rule
Score,Determines constitution modifier,Refer to https://www.notion.so/7c44d87cc0bd4aec9818c33d68cd748d?pvs=21
Modifier,Determines bonus to constitution related rolls,Refer to https://www.notion.so/7c44d87cc0bd4aec9818c33d68cd748d?pvs=21
,Holding your breath,"Survive for minutes equal to 1 + CON mod (minimum 30 seconds), then survives for rounds equal to CON mod. Next turn drops to 0 HP and is dying"
,Going without food,Can go without enough food for days equal to 3 + CON mod. Each day past limit gain 1 level of exhaustion
,Determining Hit Points,CON mod added to HP at each level
,Using Hit Dice,CON mod added to each hit dice used during short rest
Save,"Endures a disease, poison, or other hazard that saps vitality",1d20 + CON mod + Proficiency (if proficient)
,Concentration,DC equal to greater of 10 or ½ of damage taken while concentrating on a spell
,Going without enough water,DC 15 or gain 1 level of exhaustion
Check,"Very rarely used, but can be used to push yourself beyond normal limits",
Other possible uses,Quaff an entire stein of ale in one go,
