Item,Cost,Weight
Arrows (20),1 gp,1 lb.
Tinderbox,5 sp,1 lb.
Ink pen,2 cp,—
Torch,1 cp,1 lb.
Basket,4 sp,2 lb.
Bell,1 gp,—
"Clothes, costume",5 gp,4 lb.
"Ram, portable",4 gp,35 lb.
"Case, crossbow bolt",1 gp,1 lb.
"Poison, basic (vial)",100 gp,—
Chest,5 gp,25 lb.
Potion of healing,50 gp,1/2 lb.
Perfume (vial),5 gp,—
Backpack,2 gp,5 lb.
Spellbook,50 gp,3 lb.
Druidic focus,,
Waterskin,2 sp,5 lb. (full)
Blanket,5 sp,3 lb.
Piton,5 cp,1/4 lb.
Reliquary,5 gp,2 lb.
Parchment (one sheet),1 sp,—
Pole (10-foot),5 cp,7 lb.
Ink (1 ounce bottle),10 gp,—
Ladder (10-foot),1 sp,25 lb.
Sling bullets (20),4 cp,1½ lb.
Flask or tankard,2 cp,1 lb.
Candle,1 cp,—
Crystal,10 gp,1 lb.
Hourglass,25 gp,1 lb.
Emblem,5 gp,—
Wand,10 gp,1 lb.
Chain (10 feet),5 gp,10 lb.
Climber's kit,25 gp,12 lb.
Soap,2 cp,—
Abacus,2 gp,2 lb.
Amulet,5 gp,1 lb.
Ammunition,,
Quiver,1 gp,1 lb.
"Rope, hempen (50 feet)",1 gp,10 lb.
Rod,10 gp,2 lb.
Signal whistle,5 cp,—
Holy symbol,,
Yew wand,10 gp,1 lb.
Sprig of mistletoe,1 gp,—
Blowgun needles (50),1 gp,1 lb.
"Ball bearings (bag of 1,000)",1 gp,2 lb.
Bucket,5 cp,2 lb.
Lock,10 gp,1 lb.
Signet ring,5 gp,—
Caltrops (bag of 20),1 gp,2 lb.
"Hammer, sledge",2 gp,10 lb.
Paper (one sheet),2 sp,—
"Pot, iron",2 gp,10 lb.
"Bottle, glass",2 gp,2 lb.
"Pick, miner's",2 gp,10 lb.
Manacles,2 gp,6 lb.
Bedroll,1 gp,7 lb.
Shovel,2 gp,5 lb.
Mess kit,2 sp,1 lb.
"Lantern, hooded",5 gp,2 lb.
Block and tackle,1 gp,5 lb.
Rations (1 day),5 sp,2 lb.
Whetstone,1 cp,1 lb.
"Spikes, iron (10)",1 gp,5 lb.
Staff,5 gp,4 lb.
Spyglass,"1,000 gp",1 lb.
Arcane focus,,
Barrel,2 gp,70 lb.
"Case, map or scroll",1 gp,1 lb.
Component pouch,25 gp,2 lb.
Orb,20 gp,3 lb.
"Clothes, common",5 sp,3 lb.
Fishing tackle,1 gp,4 lb.
Crowbar,2 gp,5 lb.
Acid (vial),25 gp,1 lb.
Lamp,5 sp,1 lb.
Antitoxin (vial),50 gp,—
Wooden staff,5 gp,4 lb.
"Clothes, fine",15 gp,6 lb.
"Scale, merchant's",5 gp,3 lb.
Sack,1 cp,1/2 lb.
Grappling hook,2 gp,4 lb.
"Clothes, traveler's",2 gp,4 lb.
Robes,1 gp,4 lb.
Magnifying glass,100 gp,—
Alchemist's fire (flask),50 gp,1 lb.
Chalk (1 piece),1 cp,—
Holy water (flask),25 gp,1 lb.
Book,25 gp,5 lb.
Vial,1 gp,—
Pouch,5 sp,1 lb.
Crossbow bolts (20),1 gp,1½ lb.
Healer's kit,5 gp,3 lb.
"Lantern, bullseye",10 gp,2 lb.
"Rope, silk (50 feet)",10 gp,5 lb.
"Tent, two-person",2 gp,20 lb.
Hammer,1 gp,3 lb.
Sealing wax,5 sp,—
Totem,1 gp,—
Hunting trap,5 gp,25 lb.
Jug or pitcher,2 cp,4 lb.
"Mirror, steel",5 gp,1/2 lb.
Oil (flask),1 sp,1 lb.
