Type,Description
Acid,"Corrosive substances, magical or alchemical"
Bludgeoning,"Blunt force hits (hammer, falling, etc.)"
Cold,Extreme low temperature and magic attacks
Fire,Fire breaths and fire based spells and magic
Force,Pure magical energy focused in damaging form
Lightning,"lightning bolt, or electricity spells."
Necrotic,Dealt by certain undead and corrupted magic
Piercing,Puncturing and impaling attacks and weapon
Poison,"Venomous stings, spores, substances and gases"
Psychic,Mental attacks and damage like psionic abilities
Radiant,"Holy damage, like divine spells or creatures"
Slashing,"Swords, axes, and monster claws that slash"
Thunder,Concussive burst of sound or shock wave
