d100,Contents
54,Lunatic's ravings
42-43,Last will and testament
35-36,Heretical text
28-29,Dictionary
25-27,Diary
94,Text on medicine
66-67,Poetry
95,Theological text
30-32,Doodles or sketches
07-08,Bestiary
100,Travelogue of the planes
61-62,Navigational chart or star chart
71-74,Recipe book or cookbook
44-45,Legal code
56,Magic scroll
91-92,Text on mathematics
01-02,Account records
96,Tome of forbidden lore
46-53,Letter
97-99,Travelogue for an exotic land
81-82,Text on astrology
75,Record or a criminal trial
16,Book of pressed flowers
87-88,Text on herbalism
05-06,Almanac
70,Property deed
55,Magic tricks (not a spellbook)
57-59,Map or atlas
68-69,Prayer book
80,Text on armor making
85-86,Text on exotic flora or fauna
03-04,Alchemist's notebook
76,Royal proclamation
15,Book of myths
09-11,Biography
83-84,Text on brewing
60,Memoir
18-22,Catalog
34,Grammar workbook
33,Forged document
77-78,Sheet music
93,Text on masonry
89-90,Text on local flora
37-41,Historical text
63-64,Novel
65,Painting
17,Calendar
79,Spellbook
12-14,Book of heraldry
23-24,Contract
