d100,Item
07,"Bottle, broken"
65-68,Mold (common)
92-93,"Water, small puddle"
85,Straw
59,"Iron bar, bent and rusted"
35-41,Dripping blood
61,Leather boot
42-44,Dung
08,"Chain, corroded"
20,"Coin, copper"
90-91,"Water, large puddle"
87,"Teeth or fangs, scattered"
50,"Flask, cracked"
23-24,"Cracks, floor"
71,Pottery shards
02-04,Ashes
58,"Helmet, badly dented"
86,"Sword blade, broken"
28-29,Damp ceiling
57,"Hammer head, cracked"
51,Food scraps
30-33,"Dampness, wall"
77,"Sack, torn"
69,Pick handle
75-76,Rubble and dirt
98-100,"Wood pieces, rotting"
72-73,Rags
09,"Club, splintered"
96,Wax blob (candle stub)
97,Wax drippings
21-22,"Cracks, ceiling"
62-64,Leaves and twigs
94-95,"Water, trickle"
34,Dried blood
05-06,Bones
52,Fungi (common)
89,Wall Scratching
53-55,guano
01,"Arrow, broken"
60,"Javelin head, blunt"
82-83,Sticks
74,"Rope, rotten"
25-26,"Cracks, wall"
88,Torch stub
45-49,Dust
81,"Spike, rusted"
78-80,Slime (harmless)
70,"Pole, broken (5 ft. long)"
10-019,Cobwebs
27,Dagger hilt
84,"Stones, small"
56,hair or fur
