d100,Item
68-70,Rug (small or medium)
86,"Table, large"
58-60,Pallet
01,Altar
22,Charcoal
52,"Keg (small barrel, 20 gallons)"
57,Painting
16,"Butt (huge cask, 125 gallons)"
12,Brazier and charcoal
03,Armoire
65,Pillow
90,"Table, small"
27,"Chest, large"
96,"Tun (huge cask, 250 gallons)"
11,Box (large)
05,Bag
66,"Pipe (large cask, 105 gallons)"
37,Cushion
50,"Hogshead (large cask, 65 gallons)"
74,Screen
98,Wall basin and font
40-42,Fireplace and wood
97,Urn
30,Closet (wardrobe)
82,Stand
93,Throne
07-08,Bed
23-24,"Chair, plain"
46,Fresco
95,Tub
43,Fireplace with mantle
48,Hamper
88,"Table, low"
89,"Table, round"
91,"Table, trestle"
17,Cabinet
18,Candelabrum
78,Shrine
19,Carpet (large)
100,Workbench
13,Bucket
80,Sofa
36,Cupboard
09,Bench
55,Mattress
31,Coal
06,Barrel (40 gallon)
79,Sideboard
25,"Chair, padded"
83,Statue
92,Tapestry
29,Chest of drawers
71,Rushes
56,Pail
94,Trunk
21,Chandelier
54,Mat
34,Crate
39,Desk
84,"Stool, high"
76-77,Shelf
15,Bunks
32-33,Couch
44,"Firkin (small cask, 10 gallons)"
10,Blanket
47,Grindstone
51,Idol (large)
81,"Staff, normal"
02,Armchair
62-64,Pegs
67,Quilt
45,Fountain
20,Cask (40 gallons)
04,Arras or curtain
73,Sconce
35,Cresset
38,Dais
28,"Chest, medium"
99,Wood billets
14,Buffet cabinet
26,"Chair, padded, or divan"
85,"Stool, normal"
72,Sack
61,Pedestal
87,"Table, long"
53,Loom
75,Sheet
49,Hassock
