d100,Item
53,Lens (concave or convex)
66-68,Retort
91,Water clock
88-90,Vial
69,"Rod, mixing or stirring"
37-40,Flask or jar
74-75,Skull
25-26,Candlestick
59,Pentacle
78,Stand
57-58,Parchment
34,Decanter
24,Candle
76,Spatula
42,Furnace
10,Bellows
84,Tube (container)
81,Tank (container)
80,Stuffed animal
17,Bowl
73,Sexton
61,"Pipe, smoking"
79,Stool
62,Pot
46-17,Hourglass
63,Prism
55,Mortar and pestle
36,Dish
29-30,Chalk
41,Funnel
19-22,Brazier
50,Kettle
27-28,Cauldron
82,Tongs
33,Crystal ball
15-16,Bottle
04-05,Balance and weights
56,Pan
35,Desk
54,Magic circle
06-09,Beaker
64-65,Quill
83,Tripod
01-03,Alembic
77,"Spoon, measuring"
45,Horn
85-86,Tube (piping)
93-100,Workbench
48-49,Jug
51,Ladle
18,Box
92,Wire
87,Tweezers
11-14,Book
31-32,Crucible
43-44,Herbs
60,Pentagram
52,Lamp or lantern
70-72,Scroll
23,Cage
