d100,Effect
64,Ringing
98,Whispering
86-87,Squeaking
63,Rattling
49,Jingling
43-44,Hissing
06,Bellowing
24-26,Footsteps approaching
34-35,Giggling (faint)
32-33,Footsteps to the side
16,Coughing
47-48,Humming
08-10,Chanting
15,Clicking
36,Gong
14,Clashing
58-60,Murmuring
73-74,Screaming
82,Sneezing
20-23,Footsteps ahead
89-90,Tapping
46,Howling
42,Grunting
85,Splintering
54-55,Laughter
83,Sobbing
78,Shuffling
84,Splashing
61-62,Music
75-77,Scuttling
40-41,Groaning
69-72,Scratching or scrabbling
30-31,Footsteps receding
79-80,Slithering
65-687,Rustling
12,Chirping
19,Drumming
11,Chiming
27-29,Footsteps behind
91-92,Thud
56-57,Moaning
50-53,knocking
45,Horn or trumpet sounding
01-05,Bang or slam
99-100,Whistling
13,Clanking
07,Buzzing
95,Tinkling
17-18,Creaking
93-94,Thumping
88,Squealing
97,Whining
37-39,Grating
81,Snapping
96,Twanging
