d100,Item
70-71,Screen
13-14,Candles
64,Pulpit
62,"Pipes, musical"
54,Lectern
56-58,Offertory container
16,Cassocks
17,Chimes
25,Drum
49,Kneeling bench
78-79,Stand
12,Candelabra
65,Rail
01-05,Altar
59,Paintings or frescoes
06-08,Bells
26-27,Font
63,Prayer rug
36-37,Holy or unholy writings
20-23,Columns or pillars
80-82,Statue
60-61,Pews
100,Whistle
09-11,Brazier
15,Candlesticks
77,Side chairs
55,Mosaic
66-69,Robes
18-19,"Cloth, altar"
38-43,Idol
24,Curtain or tapestry
86-90,Tripod
50-53,Lamp
30-35,Holy or unholy symbol
91-97,Vestments
83,Throne
44-48,Incense Burner
28-29,Gong
98-99,Votive light
72-76,Shrine
84-85,Thurible
