d100,Item
85,Trivet or tripod
04-05,Basket
86,Tureen
24,Cup
10,Bowl
66,Salve or unguent
56,"Pipe, musical"
35,Grater
58,"Plate, platter, or saucer"
84,Tray
22,Cologne or perfume
25,Decanter
63,Quill
06-07,Book
75,Stopper
90,Vase
73,Spigot
53,Pan
83,Towel
30,"Flagon, mug, or tankard"
20-21,Coffer
45-46,Lamp or lantern
76-77,Statuette or figurine
71-72,Soap
47-48,Mirror
28,Ear spoon
91-92,Vial
34,Fork
23,Comb
94,Whetstone
59,Pot
50,"Oil, cooking"
87-88,Twine
40,Kettle
49,Needle(s)
43,Knucklebones or dice
54-55,Parchment
93,Washcloth
89,Missing Entry
74,Spoon
65,Rope
18,Case
99-100,Yarn
29,Ewer
01,Awl
41,Key
08-09,Bottle
11,Box
70,Sifter or strainer
19,Casket (small)
57,"Pipe, smoking"
60-61,Pouch
78-79,Thread
37,"Horn, drinking"
64,Razor
31-32,Flask or jar
44,Ladle
69,Shaker
39,Jug or pitcher
97-98,Wool
38,Hourglass
80-82,Tinderbox (with flint and steel)
03,Basin
12-13,Brush
62,Powder puff
67-68,Scroll
95-96,Wig
17,Cane or walking stick
42,Knife
51,"Oil, fuel"
52,"Oil, scented"
15,Candle snuffer
16,Candlestick
26-27,Dish
02,Bandages
33,Food
14,Candle
36,Grinder
