d100,Trick Effect
98-100,Swaps two or more character's minds
48-50,Casts geas on the characters
07-10,Asks three skill-testing questions (if all three are answered correctly a reward appears)
20-22,Creates a force field
14-16,"Changes a character's alignment, personality, size, appearance, or sex when touched"
36-38,Confusion (targets all creatures within 10 ft.)
54-56,Induces greed
91-93,"Talks (normal speech, nonsense, poetry and rhymes, singing, spellcasting, or screaming)"
30-32,Enlarges or reduces characters
76-78,Prevents movement
17-19,"Changes one substance into another, such as gold to lead or metal to brittle crystal"
01-06,Ages the first person to touch the object
11-13,Bestows resistances or vulnerability
60-62,Locks or unlocks exits
57-59,Contains an imprisoned creature
82-84,"Releases, summons, or turns into a monster"
79-81,"Releases coins, false coins, gems, false gems, a magic item, or a map"
63-65,"Offers a game of chance, with the promise of a reward or valuable information"
39-41,Gives directions (true or false)
66-68,Helps or harms certain types of creatures
45-47,Flies about to avoid being touched
69-71,Casts polymorph on the characters (lasts 1 hour)
51-53,"Increases, reduces, negates, or reverses gravity"
42-44,Grants a wish
72-75,Presents a puzzle or riddle
27-29,Suppresses magic items for a time
04-06,"The touched object animates, or it animates other objects nearby"
94-97,Teleports characters to another place
33-35,>Magic mouth speaks a riddle
85-87,Casts suggestion on the characters
23-26,Creates an illusion
88-90,Wails loudly when touched
