Items,DMG Price,DMPG Price,Rarity,Sane Price,Stat Block,Type,XGE Price
Shard Of The Ise Rune,5001-50000,"9,000",Very Rare,, https://www.dndbeyond.com/magic-items/shard-of-the-ise-rune,Wondrous Items,20000-50000
Lord's Ensemble,501-5000,"5,000",Rare,, https://www.dndbeyond.com/magic-items/lords-ensemble,Wondrous Items: Body,2000-20000
Whisper Jar,Varies,,Varies,, https://www.dndbeyond.com/magic-items/whisper-jar,Wondrous Items,Varies
"Yklwa, +2",501-5000,,Rare,, https://www.dndbeyond.com/magic-items/yklwa-2,Weapons,2000-20000
Duplicitous Manuscript,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/duplicitous-manuscript,Wondrous Items,2000-20000
Tome Of Understanding,5001-50000,"36,000",Very Rare,, https://www.dndbeyond.com/magic-items/tome-of-understanding,Wondrous Items,20000-50000
Mighty Servant of Leuk-o,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/mighty-servant-of-leuk-o,Wondrous Items,Priceless
Potion Of Diminution,501-5000,500,Rare,270, https://www.dndbeyond.com/magic-items/potion-of-diminution,Potions & Oils,2000-20000
Wand Of Fireballs,501-5000,"4,800",Rare,"32,000", https://www.dndbeyond.com/magic-items/wand-of-fireballs,Wands,2000-20000
Goggles Of Night,101-500,300,Uncommon,"1,500", https://www.dndbeyond.com/magic-items/goggles-of-night,Wondrous Items: Eyes,100-600
Sword Of Answering,50001+,"51,000",Legendary,"36,000", https://www.dndbeyond.com/magic-items/sword-of-answering,Weapons,50000-300000
Kyrzins Ooze,5001-50000,"21,000",Very Rare,, https://www.dndbeyond.com/magic-items/kyrzins-ooze,Wondrous Items,20000-50000
Dust Of Dryness (1 pellet),101-500,350,Uncommon,120, https://www.dndbeyond.com/magic-items/dust-of-dryness,Wondrous Items,100-600
Javelin Of Lightning,101-500,350,Uncommon,"1,500", https://www.dndbeyond.com/magic-items/javelin-of-lightning,Weapons,100-600
Cursed Luckstone,101-500,250,Uncommon,, https://www.dndbeyond.com/magic-items/cursed-luckstone,Wondrous Items,100-600
Orb Of Shielding,50-100,80,Common,, https://www.dndbeyond.com/magic-items/orb-of-shielding,Wondrous Items,20-70
Orb of the Veil,5001-50000,"31,000",Very Rare,, https://www.dndbeyond.com/magic-items/orb-of-the-veil,Wondrous Item,20000-50000
Manual Of Gainful Exercise,5001-50000,"36,000",Very Rare,, https://www.dndbeyond.com/magic-items/manual-of-gainful-exercise,Wondrous Items,20000-50000
Blue Dragon Mask,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/blue-dragon-mask,Wondrous Items,50000-300000
Imbued Wood Focus,50-100,75,Common,, https://www.dndbeyond.com/magic-items/imbued-wood-focus,Wondrous Items,20-70
Mystery Key,50-100,50,Common,, https://www.dndbeyond.com/magic-items/mystery-key,Wondrous Items,20-70
Hook of Fisher's Delight,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/hook-of-fishers-delight,Wondrous Items,2000-20000
Instrument of the Bards (Doss Lute),101-500,250,Uncommon,"28,500", https://www.dndbeyond.com/magic-items/doss-lute,Wondrous Items,100-600
Wand Of Conducting,50-100,90,Common,, https://www.dndbeyond.com/magic-items/wand-of-conducting,Wands,20-70
